Model,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
AIM/Hub-Global 2.0,1.5C,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,166.0508,1052.9853,1476.6954,1858.6616,1777.1713,611.9394,866.9902
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,162.7283776,894.9845215,1261.623206,747.1200207,727.3412761,805.9173395,874.9472955
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,162.7283776,894.3813579,1161.141811,837.0149575,768.4952014,913.2840227,864.9838859
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,163.2778491,540.3885427,665.9465697,940.1120991,800.4548221,801.0836858,804.3329341
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,203.2631544,874.0972593,1164.717728,800.3109817,679.7330741,743.0211775,651.7655207
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,193.0818496,845.8813913,1145.627303,786.4468053,697.6246928,770.7839504,703.9507756
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,186.8823425,827.9097382,1065.270969,845.5088357,678.3894288,792.7443184,815.5750239
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,171.8675288,811.976653,1021.649051,886.2373759,680.0744709,844.8024011,858.9184867
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,246.5182,1255.1136,1720.5933,1294.0396,1248.2723,1622.0766,2148.9478
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,246.5182,1212.9208,1700.2869,1286.1473,1223.0951,1558.2176,2050.8329
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,246.5182,1697.5083,1934.9948,1736.2863,1613.6905,1621.6933,1852.7227
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,246.5182,1151.5956,1665.2201,1287.0156,1209.3633,1499.6718,1982.1776
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,246.5182,1461.7685,1788.2299,1393.4164,1373.005,1673.1771,1975.032
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,246.5182,1278.8633,1735.7042,1281.1192,1228.3779,1580.9795,2015.3948
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,239.1257,1066.9813,1574.8039,1111.2877,1019.0349,1244.1596,1605.0863
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,239.1257,912.3242,1418.2197,1125.9475,1044.9744,1248.4454,1607.6671
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,206.6776,934.3377,1391.1738,991.189,758.3696,768.3573,1020.521
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,206.6776,909.1002,1419.3043,992.3525,751.6435,757.8035,1010.5084
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050 - IPD-95th,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,215.2513,981.188,1371.8891,949.3876,692.4501,723.1825,980.3228
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050 - IPD-median,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,214.1098,965.6731,1384.7524,967.4511,714.1663,739.7445,1003.7627
WITCH 5.0,EN_NPi2020_400f,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,321.1164054,511.3143546,811.3380711,1138.166761,1254.160363,1426.980712,1500.401576
WITCH 5.0,EN_NPi2020_450,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,339.8778936,540.9657333,850.5344389,1198.360351,1394.880676,1527.888473,1483.078101
WITCH 5.0,EN_NPi2020_450f,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,319.5861231,508.7355675,804.0620102,1129.065196,1250.668688,1412.420856,1490.819092
WITCH 5.0,EN_NPi2020_500,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,327.5212636,531.0583144,840.1572033,1193.471846,1353.136921,1518.452906,1573.55437
WITCH 5.0,EN_NPi2020_500f,Capacity Additions|Electricity|Renewables (incl. Biomass),GW/yr,318.5602669,503.5482572,794.9739895,1120.262138,1254.507909,1394.585049,1474.834851
