Model,Scenario,Variable,Unit,2020,2025,2030,2035,2040,2045,2050
AIM/Hub-Global 2.0,1.5C,Capacity|Electricity|Coal|w/o CCS,GW,2327.9979,2148.4021,1419.7108,834.4725,369.289,0,0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_450,Capacity|Electricity|Coal|w/o CCS,GW,1934.311146,549.5282473,45.80395684,14.14033828,0,0,0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_500,Capacity|Electricity|Coal|w/o CCS,GW,1934.311146,626.6775251,95.09324769,19.43050718,3.050404891,3.050404891,0
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_COV,Capacity|Electricity|Coal|w/o CCS,GW,1852.742693,723.2093001,273.1327005,103.5282245,77.95273085,55.63844604,30.0747
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR1p,Capacity|Electricity|Coal|w/o CCS,GW,1971.128781,738.8821806,246.8658816,142.1685571,67.54424959,67.54424959,55.66754125
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR2p,Capacity|Electricity|Coal|w/o CCS,GW,1956.766333,735.0494449,243.9610121,148.8100852,71.23483549,56.36757585,56.36757585
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR3p,Capacity|Electricity|Coal|w/o CCS,GW,1961.525097,743.1801138,261.0035451,142.9690228,83.85132472,83.85132472,75.68901759
MESSAGEix-GLOBIOM_1.1,EN_NPi2020_600_DR4p,Capacity|Electricity|Coal|w/o CCS,GW,1954.115541,747.1906141,271.677171,142.1959488,94.87466888,80.39220517,78.76476635
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_200f,Capacity|Electricity|Coal|w/o CCS,GW,1777.614,854.2656,109.7792,2.3047,1.0546,0.7037,0.3943
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_300f,Capacity|Electricity|Coal|w/o CCS,GW,1777.614,902.7017,151.2106,2.6041,1.0915,0.7303,0.4109
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400,Capacity|Electricity|Coal|w/o CCS,GW,1777.614,763.6955,55.066,1.0156,0.7397,0.4716,0.2456
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_400f,Capacity|Electricity|Coal|w/o CCS,GW,1777.614,975.8871,212.7217,2.927,1.3321,0.7744,0.4382
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_500,Capacity|Electricity|Coal|w/o CCS,GW,1777.614,764.367,56.0925,1.162,0.8573,0.5575,0.2999
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600,Capacity|Electricity|Coal|w/o CCS,GW,1777.614,845.2217,100.9062,2.2621,1.0192,0.6765,0.3759
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600_COV,Capacity|Electricity|Coal|w/o CCS,GW,1653.69,834.0654,161.0234,2.8871,1.1558,0.7745,0.436
REMIND-MAgPIE 2.1-4.2,EN_NPi2020_600f_COV,Capacity|Electricity|Coal|w/o CCS,GW,1653.69,1028.9654,423.1353,17.7855,1.6865,0.9718,0.5605
REMIND-MAgPIE 2.1-4.2,NGFS2_Divergent Net Zero Policies,Capacity|Electricity|Coal|w/o CCS,GW,1995.5288,1354.1689,371.8202,47.3814,1.1458,0.8205,0.5167
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050,Capacity|Electricity|Coal|w/o CCS,GW,1995.5288,1315.8232,264.1093,26.8208,1.0774,0.7684,0.4816
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050 - IPD-95th,Capacity|Electricity|Coal|w/o CCS,GW,1990.6938,1180.2967,157.0126,1.4627,1.0691,0.7608,0.475
REMIND-MAgPIE 2.1-4.2,NGFS2_Net-Zero 2050 - IPD-median,Capacity|Electricity|Coal|w/o CCS,GW,1990.6278,1203.9114,177.7906,6.1066,1.0458,0.746,0.4674
WITCH 5.0,EN_NPi2020_400f,Capacity|Electricity|Coal|w/o CCS,GW,2201.349124,1882.926455,1610.565112,1377.60211,1178.338295,1007.898922,862.1144008
WITCH 5.0,EN_NPi2020_450,Capacity|Electricity|Coal|w/o CCS,GW,2201.349124,1882.926455,1610.565112,1377.60211,1178.338295,1007.898922,862.1144008
WITCH 5.0,EN_NPi2020_450f,Capacity|Electricity|Coal|w/o CCS,GW,2201.349124,1882.926455,1610.565112,1377.60211,1178.338295,1007.898922,862.1144008
WITCH 5.0,EN_NPi2020_500,Capacity|Electricity|Coal|w/o CCS,GW,2201.349124,1882.926455,1610.565112,1377.60211,1178.338295,1007.898922,862.1144008
WITCH 5.0,EN_NPi2020_500f,Capacity|Electricity|Coal|w/o CCS,GW,2201.349124,1882.926455,1610.565112,1377.60211,1178.338295,1007.898922,862.1144008
