timepoints,scenario,specie,config,value
1750.5,high-extension,CO2 FFI,1234,0.009306084
1750.5,high-extension,CO2 AFOLU,1234,0.010992174
1750.5,high-extension,CO2,1234,0.020298258
1750.5,high-extension,CH4,1234,38.246272
1750.5,high-extension,N2O,1234,1.00046404
1750.5,high-extension,Sulfur,1234,2.293964929
1750.5,high-extension,BC,1234,2.096765609
1750.5,high-extension,OC,1234,15.44571911
1750.5,high-extension,NH3,1234,6.656462698
1750.5,high-extension,NOx,1234,19.41683292
1750.5,high-extension,VOC,1234,60.62284009
1750.5,high-extension,CO,1234,348.4549732
1750.5,high-extension,CFC-11,1234,0.0
1750.5,high-extension,CFC-12,1234,0.0
1750.5,high-extension,CFC-113,1234,0.0
1750.5,high-extension,CFC-114,1234,0.0
1750.5,high-extension,CFC-115,1234,0.0
1750.5,high-extension,HCFC-22,1234,0.0
1750.5,high-extension,HCFC-141b,1234,0.0
1750.5,high-extension,HCFC-142b,1234,0.0
1750.5,high-extension,CCl4,1234,0.021566776
1750.5,high-extension,CHCl3,1234,204.4237338
1750.5,high-extension,CH2Cl2,1234,207.4912296
1750.5,high-extension,CH3Cl,1234,4407.598453
1750.5,high-extension,CH3CCl3,1234,0.0
1750.5,high-extension,CH3Br,1234,106.6891725
1750.5,high-extension,Halon-1211,1234,0.008275908
1750.5,high-extension,Halon-1301,1234,0.0
1750.5,high-extension,Halon-2402,1234,0.0
1750.5,high-extension,CF4,1234,0.0
1750.5,high-extension,C2F6,1234,0.0
1750.5,high-extension,C3F8,1234,0.0
1750.5,high-extension,c-C4F8,1234,0.0
1750.5,high-extension,C4F10,1234,0.0
1750.5,high-extension,C5F12,1234,0.0
1750.5,high-extension,C6F14,1234,0.0
1750.5,high-extension,C7F16,1234,0.0
1750.5,high-extension,C8F18,1234,0.0
1750.5,high-extension,NF3,1234,0.0
1750.5,high-extension,SF6,1234,0.0
1750.5,high-extension,SO2F2,1234,1.06e-05
1750.5,high-extension,HFC-125,1234,0.0
1750.5,high-extension,HFC-134a,1234,0.0
1750.5,high-extension,HFC-143a,1234,0.0
1750.5,high-extension,HFC-152a,1234,0.0
1750.5,high-extension,HFC-227ea,1234,0.0
1750.5,high-extension,HFC-23,1234,0.0
1750.5,high-extension,HFC-236fa,1234,0.0
1750.5,high-extension,HFC-245fa,1234,0.0
1750.5,high-extension,HFC-32,1234,0.0
1750.5,high-extension,HFC-365mfc,1234,0.0
1750.5,high-extension,HFC-4310mee,1234,0.0
1750.5,high-extension,Solar,1234,
1750.5,high-extension,Volcanic,1234,
1750.5,high-extension,Aerosol-radiation interactions,1234,
1750.5,high-extension,Aerosol-cloud interactions,1234,
1750.5,high-extension,Ozone,1234,
1750.5,high-extension,Light absorbing particles on snow and ice,1234,
1750.5,high-extension,Stratospheric water vapour,1234,
1750.5,high-extension,Land use,1234,
1750.5,high-extension,Equivalent effective stratospheric chlorine,1234,
1750.5,high-overshoot,CO2 FFI,1234,0.009306084
1750.5,high-overshoot,CO2 AFOLU,1234,0.010992174
1750.5,high-overshoot,CO2,1234,0.020298258
1750.5,high-overshoot,CH4,1234,38.246272
1750.5,high-overshoot,N2O,1234,1.00046404
1750.5,high-overshoot,Sulfur,1234,2.293964929
1750.5,high-overshoot,BC,1234,2.096765609
1750.5,high-overshoot,OC,1234,15.44571911
1750.5,high-overshoot,NH3,1234,6.656462698
1750.5,high-overshoot,NOx,1234,19.41683292
1750.5,high-overshoot,VOC,1234,60.62284009
1750.5,high-overshoot,CO,1234,348.4549732
1750.5,high-overshoot,CFC-11,1234,0.0
1750.5,high-overshoot,CFC-12,1234,0.0
1750.5,high-overshoot,CFC-113,1234,0.0
1750.5,high-overshoot,CFC-114,1234,0.0
1750.5,high-overshoot,CFC-115,1234,0.0
1750.5,high-overshoot,HCFC-22,1234,0.0
1750.5,high-overshoot,HCFC-141b,1234,0.0
1750.5,high-overshoot,HCFC-142b,1234,0.0
1750.5,high-overshoot,CCl4,1234,0.021566776
1750.5,high-overshoot,CHCl3,1234,204.4237338
1750.5,high-overshoot,CH2Cl2,1234,207.4912296
1750.5,high-overshoot,CH3Cl,1234,4407.598453
1750.5,high-overshoot,CH3CCl3,1234,0.0
1750.5,high-overshoot,CH3Br,1234,106.6891725
1750.5,high-overshoot,Halon-1211,1234,0.008275908
1750.5,high-overshoot,Halon-1301,1234,0.0
1750.5,high-overshoot,Halon-2402,1234,0.0
1750.5,high-overshoot,CF4,1234,0.0
1750.5,high-overshoot,C2F6,1234,0.0
1750.5,high-overshoot,C3F8,1234,0.0
1750.5,high-overshoot,c-C4F8,1234,0.0
1750.5,high-overshoot,C4F10,1234,0.0
1750.5,high-overshoot,C5F12,1234,0.0
1750.5,high-overshoot,C6F14,1234,0.0
1750.5,high-overshoot,C7F16,1234,0.0
1750.5,high-overshoot,C8F18,1234,0.0
1750.5,high-overshoot,NF3,1234,0.0
1750.5,high-overshoot,SF6,1234,0.0
1750.5,high-overshoot,SO2F2,1234,1.06e-05
1750.5,high-overshoot,HFC-125,1234,0.0
1750.5,high-overshoot,HFC-134a,1234,0.0
1750.5,high-overshoot,HFC-143a,1234,0.0
1750.5,high-overshoot,HFC-152a,1234,0.0
1750.5,high-overshoot,HFC-227ea,1234,0.0
1750.5,high-overshoot,HFC-23,1234,0.0
1750.5,high-overshoot,HFC-236fa,1234,0.0
1750.5,high-overshoot,HFC-245fa,1234,0.0
1750.5,high-overshoot,HFC-32,1234,0.0
1750.5,high-overshoot,HFC-365mfc,1234,0.0
1750.5,high-overshoot,HFC-4310mee,1234,0.0
1750.5,high-overshoot,Solar,1234,
1750.5,high-overshoot,Volcanic,1234,
1750.5,high-overshoot,Aerosol-radiation interactions,1234,
1750.5,high-overshoot,Aerosol-cloud interactions,1234,
1750.5,high-overshoot,Ozone,1234,
1750.5,high-overshoot,Light absorbing particles on snow and ice,1234,
1750.5,high-overshoot,Stratospheric water vapour,1234,
1750.5,high-overshoot,Land use,1234,
1750.5,high-overshoot,Equivalent effective stratospheric chlorine,1234,
1750.5,medium-extension,CO2 FFI,1234,0.009306084
1750.5,medium-extension,CO2 AFOLU,1234,0.010992174
1750.5,medium-extension,CO2,1234,0.020298258
1750.5,medium-extension,CH4,1234,38.246272
1750.5,medium-extension,N2O,1234,1.00046404
1750.5,medium-extension,Sulfur,1234,2.293964929
1750.5,medium-extension,BC,1234,2.096765609
1750.5,medium-extension,OC,1234,15.44571911
1750.5,medium-extension,NH3,1234,6.656462698
1750.5,medium-extension,NOx,1234,19.41683292
1750.5,medium-extension,VOC,1234,60.62284009
1750.5,medium-extension,CO,1234,348.4549732
1750.5,medium-extension,CFC-11,1234,0.0
1750.5,medium-extension,CFC-12,1234,0.0
1750.5,medium-extension,CFC-113,1234,0.0
1750.5,medium-extension,CFC-114,1234,0.0
1750.5,medium-extension,CFC-115,1234,0.0
1750.5,medium-extension,HCFC-22,1234,0.0
1750.5,medium-extension,HCFC-141b,1234,0.0
1750.5,medium-extension,HCFC-142b,1234,0.0
1750.5,medium-extension,CCl4,1234,0.021566776
1750.5,medium-extension,CHCl3,1234,204.4237338
1750.5,medium-extension,CH2Cl2,1234,207.4912296
1750.5,medium-extension,CH3Cl,1234,4407.598453
1750.5,medium-extension,CH3CCl3,1234,0.0
1750.5,medium-extension,CH3Br,1234,106.6891725
1750.5,medium-extension,Halon-1211,1234,0.008275908
1750.5,medium-extension,Halon-1301,1234,0.0
1750.5,medium-extension,Halon-2402,1234,0.0
1750.5,medium-extension,CF4,1234,0.0
1750.5,medium-extension,C2F6,1234,0.0
1750.5,medium-extension,C3F8,1234,0.0
1750.5,medium-extension,c-C4F8,1234,0.0
1750.5,medium-extension,C4F10,1234,0.0
1750.5,medium-extension,C5F12,1234,0.0
1750.5,medium-extension,C6F14,1234,0.0
1750.5,medium-extension,C7F16,1234,0.0
1750.5,medium-extension,C8F18,1234,0.0
1750.5,medium-extension,NF3,1234,0.0
1750.5,medium-extension,SF6,1234,0.0
1750.5,medium-extension,SO2F2,1234,1.06e-05
1750.5,medium-extension,HFC-125,1234,0.0
1750.5,medium-extension,HFC-134a,1234,0.0
1750.5,medium-extension,HFC-143a,1234,0.0
1750.5,medium-extension,HFC-152a,1234,0.0
1750.5,medium-extension,HFC-227ea,1234,0.0
1750.5,medium-extension,HFC-23,1234,0.0
