"Model","Scenario","Region","Variable","Unit","2005","2010","2015","2020","2025","2030","2035","2040","2045","2050","2055","2060","2065","2070","2075","2080","2085","2090","2095","2100"
"COFFEE 1.1","EN_NPi2020_400f","North America; primarily the United States of America and Canada","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr","",0,0,0,0,0,29.024999,58.050004,116.100009,174.150013,"",348.299908,"",402.74989,"",219.278571,"",68.21999,"",19.491427
"COFFEE 1.1","EN_NPi2020_400f","North America; primarily the United States of America and Canada","Secondary Energy|Electricity","EJ/yr","",16.90892295145056,17.629415568926497,18.15933826487491,19.960012771861106,19.828149458026022,17.602973413474032,18.9327787894787,20.40549035917018,26.96523066445191,"",44.19086280185808,"",54.44774181293845,"",62.894597554412194,"",65.0127821537432,"",67.66749160245547
"COFFEE 1.1","EN_NPi2020_400f","North America; primarily the United States of America and Canada","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",2637.198514,1975.005207,1938.627305,1856.815919,1141.8097021,343.939901,89.9289,-109.677806,-153.523025,"",-296.861675,"",-332.189882,"",-148.71856300000002,"",2.3400180000000006,"",51.068581
"COFFEE 1.1","EN_NPi2020_400f","Eastern and Western Europe (i.e., the EU28)","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr","",0,0,0,0,0,0,0,0,0,"",0,"",0,"",0,"",0,"",0
"COFFEE 1.1","EN_NPi2020_400f","Eastern and Western Europe (i.e., the EU28)","Secondary Energy|Electricity","EJ/yr","",13.2515065592087,12.70503308675981,13.69475646082258,14.04049585758725,15.36612070408646,16.46568365167224,21.52532107919448,25.44686241348226,35.41133962035821,"",46.54125494066994,"",60.02734392393898,"",65.11513990388745,"",67.24379870538826,"",67.64211685400515
"COFFEE 1.1","EN_NPi2020_400f","Eastern and Western Europe (i.e., the EU28)","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",1074.732898000001,805.4051699999998,966.3970835,1179.366248,520.443149,171.452481,13.277482,18.89151,28.135789,"",58.534036,"",70.560008,"",70.560008,"",49.391991,"",14.111999
"COFFEE 1.1","EN_NPi2020_400f","Pacific OECD","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr","",0,0,0,0,0,0,0,0,0,"",0,"",0,"",0,"",0,"",0
"COFFEE 1.1","EN_NPi2020_400f","Pacific OECD","Secondary Energy|Electricity","EJ/yr","",5.73592319237304,5.412002676645312,5.608258250733791,5.364121242898367,5.195887882845696,5.279270772217968,5.535800922657456,5.95697551064712,7.716060286528319,"",11.753985048808609,"",13.423529260297151,"",14.242803585820992,"",14.69705336839209,"",14.440012724947534
"COFFEE 1.1","EN_NPi2020_400f","Pacific OECD","Emissions|CO2|Energy|Supply|Electricity","Mt CO2/yr","",661.947092,608.870498,596.026618,468.496507,207.225414,76.46987,32.008137,12.412999999999998,22.684922,"",57.524159,"",84.342331,"",98.352055,"",117.035363,"",79.831225
"COFFEE 1.1","EN_NPi2020_400f","Reforming Economies of Eastern Europe and the Former Soviet Union; primarily Russia","Carbon Sequestration|CCS|Biomass|Energy|Supply|Electricity","Mt CO2/yr","",0,0,0,0,0,18.06264,18.06264,18.06264,15.091148,"",0,"",0,"",0,"",0,"",0
